Problem Set Id,Problem Part,Problem Type,Answer Types,Problem Body,Fill-in Options,Fill-in Answers,Multiple Choice Options,Multiple Choice Answers,problem_id
PSBZF4,1,Order / Sort,Ordering,"<p>A scale drawing of a car is presented in the following three scales. Order the scale drawings from smallest to largest. (There are about 1.1 yards in a meter, and 2.54 cm in an inch.)&nbsp;</p>","<p>1 inch to 1 meter</p>, <p>1 inch to 1 yard</p>, <p>1 inch to 1 foot</p>","<p>1 inch to 1 meter</p>, <p>1 inch to 1 yard</p>, <p>1 inch to 1 foot</p>",,,121497
PSBFH9,1,Fill-in-the-blank(s),Numeric,"<p>These triangles are scaled copies of each other.</p>
<p>&nbsp;</p>
<p><img src=""//resources.assistments.org/fetch/C/65e8b64e-580c-473e-adbc-9889159c3114.jpeg"" alt=""Four right triangles labeled F B G H from left to right. Their measurements are: F 10, 8, 6; B 5/2, 2, 3/2; G 5, 4, 3; H 10/3, 8/3, 2"" width=""450"" height=""184""></p>
<p>&nbsp;</p>
<p>The area of the second triangle is how many times larger than the area of the first?</p>
<p>&nbsp;</p>
<p>The area of Triangle G is <ast-r type=""text"" marker=""1""></ast-r> times larger than the area of Triangle F.</p>",4,4,,,26892
PSBBVCZ,1,Fill-in-the-blank(s),Algebraic Expression,"<p>Elena has some bottles of water that each holds 17 fluid ounces.</p>
<p>&nbsp;</p>
<p>Write an equation that relates the number of bottles of water (<em>b</em>) to the total volume of water (<em>w</em>)&nbsp;in fluid ounces.</p>
<p>&nbsp;</p>
<p><em>w</em> =<ast-r type=""text"" marker=""1""></ast-r></p>
<p><em><span style=""font-size: 10pt;"">Use b as your variable</span></em></p>",17b,17b,,,270760
PSBEK6,6,Fill-in-the-blank(s),Numeric,"<p>What is the&nbsp;y-coordinate of your graph when the&nbsp;x-coordinate is 1?</p>
<p>&nbsp;</p>
<p><span style=""font-size: 18pt;"">(1, </span><ast-r type=""text"" marker=""1""></ast-r><span style=""font-size: 18pt;"">)</span></p>","5/8, 2/5, 5/4","5/8, 2/5, 5/4",,,22967
PSBD4P2,1,Fill-in-the-blank(s),Numeric,"<p>Each small square in the grid represents 1 square unit. Find the area of the figure in square units. &nbsp;</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/418422.jpg"" alt=""A three sided figure on a square grid."" width=""189"" height=""196""></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> square units</p>",8,8,,,668703
PSBB5M8,3,Fill-in-the-blank(s),Algebraic Expression,"<div><span style=""font-family: arial, helvetica, sans-serif;"">The length of segment <em>AE</em> is 5 centimeters.&nbsp;</span></div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div><img style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif;"" src=""//resources.assistments.org/fetch/C/582d5101-c549-4c0d-9e39-d7f8e9759452.png""></div>
<div>&nbsp;</div>
<div>
<p>&nbsp;</p>
<p><span style=""font-size: 0.875rem; letter-spacing: 0.00714286em;"">Name a segment that has the same length as segment </span><span style=""font-size: 0.875rem; letter-spacing: 0.00714286em;""><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>A</mi><mi>B</mi></math></span><span style=""font-size: 0.875rem; letter-spacing: 0.00714286em;"">.</span></p>
</div>
<p>&nbsp;</p>
<p>segment <ast-r type=""text"" marker=""1""></ast-r></p>","DA, FA, CA, AE, AG, AB","DA, FA, CA, AE, AG, AB",,,317851
PSBB5M8,2,Fill-in-the-blank(s),Numeric,"<div><span style=""font-family: arial, helvetica, sans-serif;"">The length of segment <em>AE</em> is 5 centimeters.&nbsp;</span></div>
<div>&nbsp;</div>
<div>&nbsp;</div>
<div><img style=""font-family: -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, Oxygen, Ubuntu, Cantarell, 'Open Sans', 'Helvetica Neue', sans-serif;"" src=""//resources.assistments.org/fetch/C/582d5101-c549-4c0d-9e39-d7f8e9759452.png""></div>
<div>&nbsp;</div>
<div>
<p>&nbsp;</p>
</div>
<p>What is the length of segment <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>A</mi><mi>B</mi></math>?</p>
<p>&nbsp;</p>
<p>&nbsp;<ast-r type=""text"" marker=""1""></ast-r> centimeters</p>",5,5,,,317673
PRABESVU,1,Fill-in-the-blank(s),Numeric,"<p>Priya drew a circle whose circumference is 25 cm. Clare drew a circle whose diameter is 3 times the diameter of Priya's circle. What is the circumference of Clare's circle?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>cm</p>
<p><span style=""font-size: 10pt;""><em>Use 3.14 for </em></span><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">&#960;</mi></math><em style=""font-size: 10pt;"">&nbsp;.</em></p>
<p><span style=""font-size: 10pt;""><em>Round to the nearest whole number.</em></span></p>",75,75,,,449437
PRABESVA,1,Fill-in-the-blank(s),Numeric,"<p>Find the area of the polygon.</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/159241.jpg"" alt=""A diagram of an irregular step-shaped figure, resembling a backwards L with an additional step, labeled with dimensions in centimeters. The left side has vertical segments of 2 cm (upper) and 3 cm (lower), the top horizontal segment is 1 cm, the right vertical segment is 4 cm, the middle horizontal step is 3 cm, and the bottom horizontal base is 3 cm."" width=""336"" height=""242""></p>
<p>&nbsp;</p>
<p>&nbsp;<ast-r type=""text"" marker=""1""></ast-r> cm<sup>2</sup></p>",20,20,,,37379
PSB7FG,2,Fill-in-the-blank(s),Numeric,"<p>A circle&rsquo;s circumference is approximately 76 cm.</p>
<p>&nbsp;</p>
<p>Estimate the diameter of the circle. &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> cm</p>
<p><em><span style=""font-size: 10pt;"">Use &nbsp;3.14 for&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">&#960;</mi></math>.</span></em></p>
<p><em><span style=""font-size: 10pt;"">Round your answer to the nearest whole number.</span></em></p>",24,24,,,155429
PSBUPR,3,Fill-in-the-blank(s),Numeric,"<p style=""text-align: left;"">Use the diagram to find the measure of angle&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>E</mi><mi>B</mi><mi>D</mi></math>.</p>
<table style=""border-collapse: collapse; width: 100%; height: 47.9745px;"" border=""0"">
<tbody>
<tr style=""height: 47.9745px;"">
<td style=""width: 42.0618%; height: 47.9745px; text-align: left;""><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>m</mi><mo>&#8736;</mo><mi>E</mi><mi>B</mi><mi>D</mi></math> = <ast-r type=""text"" marker=""1""></ast-r><span style=""font-size: 18pt;"">&deg;&nbsp;</span></td>
<td style=""width: 57.9856%; height: 47.9745px;""><img src=""//resources.assistments.org/fetch/C/c45dc605-f446-4530-9487-9a5aec6c25a3.png"" alt=""Lines A D and E C intersect at point B. Angle C B D is 50 degrees."" width=""412""></td>
</tr>
</tbody>
</table>",130,130,,,92939
PSBCQU6,3,Fill-in-the-blank(s),Numeric,"<p>Multiply. Express your answer as a decimal.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>(</mo><mn>0</mn><mo>.</mo><mn>3</mn><mo>)</mo><mo>&#160;</mo><mo>&#183;</mo><mo>&#160;</mo><mn>60</mn></math></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",18,18,,,422084
PRABQP66,1,Fill-in-the-blank(s),Exact Match,"<p>What is the decimal expansion of <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>16</mn><mn>9</mn></mfrac></math>?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>
<p>&nbsp;</p>
<p><span style=""font-size: 10pt;""><em><span style=""font-weight: 400;"">If your answer is a repeating decimal, type the repeated portion of the decimal only once.&nbsp;</span></em></span></p>
<p><span style=""font-size: 10pt;""><em><span style=""font-weight: 400;"">For example: </span></em></span><span style=""font-size: 10pt;""><em><span style=""font-weight: 400;"">for&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>3</mn><mo>.</mo><mn>6</mn><menclose notation=""top""><mn>6</mn></menclose></math> you only type in 3.6 </span></em></span><span style=""font-size: 10pt;""><em><span style=""font-weight: 400;"">for&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>0</mn><mo>.</mo><mn>45</mn><menclose notation=""top""><mn>45</mn></menclose></math> you only type in 0.45</span></em></span></p>
<p>&nbsp;</p>",1.7,1.7,,,316024
PSBCQU6,1,Fill-in-the-blank(s),Exact Match,"<p>Multiply. Express your answer as a decimal.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>&#160;</mo><mo>&#183;</mo><mo>&#160;</mo><mn>13</mn></math></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>","6.50, 6.5","6.50, 6.5",,,421838
PSBRYP,2,Fill-in-the-blank(s),Numeric,"<p>A farm lets you pick 3 pints of raspberries for&nbsp;$12.00.</p>
<p>&nbsp;</p>
<p>How many pints do you get per dollar?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> pints</p>",12-Mar,12-Mar,,,77688
PRABHHJ5,1,Fill-in-the-blank(s),Exact Fraction,"<p>Find&nbsp;the quotient. Write your answer as a fraction or a mixed number.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>8</mn><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>&#247;</mo><mn>11</mn></math></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",17/22,17/22,,,81470
PSBB33G,2,Fill-in-the-blank(s),Exact Fraction,"<p>Here is line segment&nbsp;<em>DE</em>&nbsp;and its image&nbsp;<em>D&prime;E&prime;</em>&nbsp;under a dilation.</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/192539.jpg"" alt="""" width=""342"" height=""219""></p>
<p>What is the scale factor of the dilation?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",4-Jan,4-Jan,,,309708
PSBB2KM,1,Fill-in-the-blank(s),Numeric,"<p>Triangle <em>ABC&nbsp;</em>is a scaled copy of triangle <em>DEF</em>. Side <em>AB&nbsp;</em>measures 12 cm and is the longest side of <em>ABC</em>. Side&nbsp;<em>DE&nbsp;</em>measures 8 cm and is the longest side of <em>DEF</em>.</p>
<p>&nbsp;</p>
<p>Triangle <em>ABC&nbsp;</em>is a scaled copy of triangle <em>DEF</em>&nbsp;with what scale factor?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",1.5,1.5,,,301201
PSB6SB,3,Fill-in-the-blank(s),Numeric,"<p>A store sells ice cream with assorted toppings. They charge&nbsp;$3.00 for an ice cream, plus 50 cents per ounce of toppings.</p>
<p>&nbsp;</p>
<p>If Elena&rsquo;s ice cream cost&nbsp;$1.50 more than Jada&rsquo;s ice cream, how much more did Elena&rsquo;s toppings weigh?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> ounces of toppings</p>",3,3,,,152206
PSB25J,2,Fill-in-the-blank(s),Numeric,"<p>Now find&nbsp;x&nbsp;when&nbsp;y&nbsp;=&nbsp;2.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>y</mi><mo>&#160;</mo><mo>=</mo><mo>&#160;</mo><mfrac><mn>2</mn><mn>3</mn></mfrac><mi>x</mi></math></p>
<p>&nbsp;</p>
<p>x = <ast-r type=""text"" marker=""1""></ast-r></p>",3,3,,,131367
PSB282,1,Fill-in-the-blank(s),Numeric,"<p>For the following equation, find&nbsp;y&nbsp;when&nbsp;x&nbsp;=&nbsp;-3.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>y</mi><mo>&#160;</mo><mo>=</mo><mo>&#160;</mo><mo>-</mo><mi>x</mi><mo>&#160;</mo><mo>+</mo><mo>&#160;</mo><mn>5</mn></math></p>
<p>&nbsp;</p>
<p>y = <ast-r type=""text"" marker=""1""></ast-r></p>",8,8,,,131672
PRABD8HX,1,Fill-in-the-blank(s),Algebraic Expression,"<p>Write an equation for the line that passes through (2, 5) and (6, 7).</p>
<p>&nbsp;</p>
<p>y = <ast-r type=""text"" marker=""1""></ast-r></p>
<p><em><span style=""font-size: 10pt;"">Use x as your variable.</span></em></p>",0.5x+4,0.5x+4,,,18591
PSB6SB,2,Fill-in-the-blank(s),Numeric,"<p>A store sells ice cream with assorted toppings. They charge&nbsp;$3.00 for an ice cream, plus 50 cents per ounce of toppings.</p>
<p>&nbsp;</p>
<p>How much does an ice cream cost with 11&nbsp;ounces of toppings?</p>
<p>&nbsp;</p>
<p>$<ast-r type=""text"" marker=""1""></ast-r></p>",8.5,8.5,,,152091
PSBBAB5,3,Fill-in-the-blank(s),Numeric,"<p>At a sandwich shop, any sandwich costs&nbsp;$4.50, plus&nbsp;$0.25 for each extra topping.</p>
<p>&nbsp;</p>
<p>If Andre&rsquo;s sandwich cost&nbsp;$2.00 more than Clare&rsquo;s sandwich, how many more toppings did Andre add to his sandwich?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>more toppings</p>",8,8,,,171630
PSB64G,2,Fill-in-the-blank(s),Numeric,"<p>Here is the base of a prism.</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/277270.jpg"" alt=""An 8-sided figure, all angles right, lengths, centimeters. From the first vertex, a segment extends 8 right, then 5 down, then 3 left, then 2 up, then 2 left, then 2 down, then 3 left, then 5 up."" width=""375"" height=""214""></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>If the height of the prism is 5 cm, what is its volume? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>cm<sup>3</sup></p>",180,180,,,152894
PSBXC8,1,Fill-in-the-blank(s),Algebraic Expression,"<p>The graph shows the height in inches, <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>h</mi></math>, of a bamboo plant&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>t</mi></math> months after it has been planted.</p>
<p>&nbsp;</p>
<table style=""border-collapse: collapse; width: 100%;"" border=""0"">
<tbody>
<tr>
<td style=""width: 48.9295%;""><img src=""//resources.assistments.org/fetch/C/9383ce30-5616-42c6-8268-ac9767f96e10.png""></td>
<td style=""width: 48.9295%;"">
<p>Write an equation that describes the relationship between <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>h</mi></math> and&nbsp;<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>t</mi></math>.</p>
<p>&nbsp;</p>
<p><em>h</em> = <ast-r type=""text"" marker=""1""></ast-r></p>
<p><em><span style=""font-size: 10pt;"">Use t as your variable.</span></em></p>
</td>
</tr>
</tbody>
</table>",3t+12,3t+12,,,109764
PSB25J,1,Fill-in-the-blank(s),Numeric,"<p>For the following equation, find&nbsp;y&nbsp;when&nbsp;x&nbsp;=&nbsp;-3.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>y</mi><mo>&#160;</mo><mo>=</mo><mo>&#160;</mo><mfrac><mn>2</mn><mn>3</mn></mfrac><mi>x</mi></math></p>
<p>&nbsp;</p>
<p>y = <ast-r type=""text"" marker=""1""></ast-r></p>",-2,-2,,,131134
PSB282,2,Fill-in-the-blank(s),Numeric,"<p>Now find&nbsp;x&nbsp;when&nbsp;y&nbsp;=&nbsp;2.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>y</mi><mo>&#160;</mo><mo>=</mo><mo>&#160;</mo><mo>-</mo><mi>x</mi><mo>&#160;</mo><mo>+</mo><mo>&#160;</mo><mn>5</mn></math></p>
<div style=""position: absolute; left: 186px; top: 155.2px;"">&nbsp;</div>
<p>&nbsp;</p>
<p>x =<ast-r type=""text"" marker=""1""></ast-r></p>",3,3,,,131899
PSB3EU,2,Fill-in-the-blank(s),Numeric,"<p>Now&nbsp;find&nbsp;x&nbsp;when&nbsp;y&nbsp;=&nbsp;2.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>y</mi><mo>&#160;</mo><mo>=</mo><mo>&#160;</mo><mn>1</mn><mo>.</mo><mn>5</mn><mi>x</mi><mo>&#160;</mo><mo>+</mo><mo>&#160;</mo><mn>11</mn></math></p>
<p>&nbsp;</p>
<p>x =<ast-r type=""text"" marker=""1""></ast-r></p>",-6,-6,,,132932
PSB64G,5,Fill-in-the-blank(s),Numeric,"<p>Here is the base of a prism.</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/277270.jpg"" alt=""An 8-sided figure, all angles right, lengths, centimeters. From the first vertex, a segment extends 8 right, then 5 down, then 3 left, then 2 up, then 2 left, then 2 down, then 3 left, then 5 up."" width=""375"" height=""214""></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>When the height doubled, what was the percent increase for the surface area?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> %</p>
<p><em><span style=""font-size: 10pt;"">Round&nbsp;the percent to the nearest tenths place.</span></em></p>",67.6,67.6,,,153479
PRABFAHC,1,Fill-in-the-blank(s),Numeric,"<p>Clare is paid&nbsp;$90 for 5 hours of work. At this rate, how many seconds does it take for her to earn 25 cents?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>seconds</p>",50,50,,,147205
PSBUE2,3,Fill-in-the-blank(s),Numeric,"<p>Noah&rsquo;s recipe for one batch of sparkling orange juice uses 4 liters of orange juice and 5 liters of soda water.</p>
<p>&nbsp;</p>
<p>If someone uses 400 liters of orange juice, how much soda water would they need?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> liters of soda water</p>",500,500,,,91811
PSBUE2,2,Fill-in-the-blank(s),Numeric,"<p>Noah&rsquo;s recipe for one batch of sparkling orange juice uses 4 liters of orange juice and 5 liters of soda water.</p>
<p>&nbsp;</p>
<p>If someone mixes 36 liters of orange juice and 45 liters of soda water, how many batches would they make?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> batches</p>",9,9,,,91684
PRABE9GW,1,Fill-in-the-blank(s),Numeric,"<p>Elena has 80 unit cubes. What is the volume of the largest cube she can build with them?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> cubic units</p>",64,64,,,601993
PSBUE2,4,Fill-in-the-blank(s),Numeric,"<p>Noah&rsquo;s recipe for one batch of sparkling orange juice uses 4 liters of orange juice and 5 liters of soda water.</p>
<p>&nbsp;</p>
<p>If someone uses 455 liters of soda water, how much orange juice would they need?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> liters of orange juice</p>",364,364,,,91913
PSB64G,1,Fill-in-the-blank(s),Numeric,"<p>Here is the base of a prism.</p>
<p>&nbsp;</p>
<p><img src=""/images/assistments/277270.jpg"" alt=""An 8-sided figure, all angles right, lengths, centimeters. From the first vertex, a segment extends 8 right, then 5 down, then 3 left, then 2 up, then 2 left, then 2 down, then 3 left, then 5 up."" width=""375"" height=""214""></p>
<p>&nbsp;</p>
<p>If the height of the prism is 5 cm, what is its surface area?</p>
<p>&nbsp;</p>
<p>&nbsp;<ast-r type=""text"" marker=""1""></ast-r>cm<sup>2</sup></p>",222,222,,,152711
PSBB6QT,1,Fill-in-the-blank(s),Numeric,"<p>Recall that a <em>perfect square</em> is a number of objects that can be arranged into a square. For example, 9 is a perfect square because 9 objects can be arranged into 3 rows of 3. 16 is also a perfect square, because 16 objects can be arranged into 4 rows of 4. In contrast, 12 is not a perfect square because you can&rsquo;t arrange 12 objects into a square.</p>
<p>&nbsp;</p>
<p>How many whole numbers starting with 1 and ending with 100 are perfect squares?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>whole numbers</p>",10,10,,,324197
PSBC8AZ,1,Fill-in-the-blank(s),Exact Match,"<p>Multiply. Express your answer as a decimal.</p>
<p>&nbsp;</p>
<div>
<div>
<div>
<div>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>&#160;</mo><mo>&#183;</mo><mo>&#160;</mo><mn>15</mn></math></p>
</div>
</div>
</div>
</div>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>","7.50, 7.5","7.50, 7.5",,,508616
PSBCEMX,5,Fill-in-the-blank(s),Numeric,"<p>How much yellow water should be used for 11 ml of blue water?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> ml of yellow water</p>
<p>&nbsp;</p>
<p><img src=""//resources.assistments.org/fetch/C/4371fef1-99df-4d44-8a90-7f0e112c359a.jpeg"" width=""695"" height=""149""></p>",33,33,,,370357
PSBCQR6,1,Fill-in-the-blank(s),Exact Match,"<p>Divide. Express your answer as a decimal.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>5</mn><mo>&#160;</mo><mo>&#247;</mo><mo>&#160;</mo><mn>2</mn></math></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>","2.50, 2.5","2.50, 2.5",,,421173
PSBCEMX,6,Fill-in-the-blank(s),Numeric,"<p>How much yellow water should be used for 8 ml of blue water?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> ml of yellow water</p>
<p>&nbsp;</p>
<p><img src=""//resources.assistments.org/fetch/C/4371fef1-99df-4d44-8a90-7f0e112c359a.jpeg"" width=""695"" height=""149""></p>",24,24,,,370431
PSBC77E,1,Fill-in-the-blank(s),Exact Match,"<p>Divide. Express your answer as a decimal.</p>
<p>&nbsp;</p>
<div>
<div>
<div>
<div>
<p>5&nbsp;&divide;&nbsp;4</p>
</div>
</div>
</div>
</div>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",1.25,1.25,,,508017
PSBC8AZ,3,Fill-in-the-blank(s),Exact Match,"<p>Multiply. Express your answer as a decimal.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>(</mo><mn>0</mn><mo>.</mo><mn>2</mn><mo>)</mo><mo>&#160;</mo><mo>&#183;</mo><mo>&#160;</mo><mn>60</mn></math></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>","12.0, 12","12.0, 12",,,508887
PSBCEMX,3,Fill-in-the-blank(s),Numeric,"<p>How much yellow water should be used for 1 ml of blue water?&nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> ml of yellow water</p>
<p>&nbsp;</p>
<p><img src=""//resources.assistments.org/fetch/C/4371fef1-99df-4d44-8a90-7f0e112c359a.jpeg"" width=""695"" height=""149""></p>",3,3,,,370138
PRABPFQW,1,Fill-in-the-blank(s),Numeric,"<p>A square with side of 10 units overlaps a square with side of 8 units in such a way that its corner <em>B </em>is placed exactly at the center of the smaller square. As a result of the overlapping, the two sides of the large square intersect the two sides of the small square exactly at points <em>C </em>and <em>E</em>, as shown. The length of <em>CD </em>is 6 units.</p>
<p>&nbsp;</p>
<p><img src=""//resources.assistments.org/fetch/C/f973157c-0967-4825-b8c9-b8c1a861c93c.jpeg"" width=""215"" height=""160""></p>
<p>&nbsp;</p>
<p>What is the area of the overlapping region <em>CDEB</em>?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> square units</p>",16,16,,,372037
PSBC77E,4,Fill-in-the-blank(s),Exact Match,"<p>Divide. Express your answer as a decimal.</p>
<p>&nbsp;</p>
<p>12&nbsp;&divide;&nbsp;30</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",".4, 0.4",".4, 0.4",,,508402
PSBC8AZ,2,Fill-in-the-blank(s),Exact Match,"<p>Multiply. Express your answer as a decimal.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mn>3</mn><mn>4</mn></mfrac><mo>&#160;</mo><mo>&#183;</mo><mo>&#160;</mo><mn>200</mn></math></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>","150.0, 150","150.0, 150",,,508769
PSBRYP,3,Fill-in-the-blank(s),Numeric,"<p>A farm lets you pick 3 pints of raspberries for&nbsp;$12.00.</p>
<p>&nbsp;</p>
<p>At this rate, how many pints can you afford for&nbsp;$20.00?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> pints</p>",5,5,,,77847
PSBDG4M,3,Fill-in-the-blank(s),Numeric,"<p>Lin runs 5 laps around a track in 6 minutes.</p>
<p>&nbsp;</p>
<p>If Lin runs 21 laps at the same rate, how long does it take her?</p>
<p>&nbsp;</p>
<p>&nbsp;<ast-r type=""text"" marker=""1""></ast-r> minutes</p>",25.2,25.2,,,559654
PSBC8AZ,4,Fill-in-the-blank(s),Exact Match,"<p>Multiply. Express your answer as a decimal.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>(</mo><mn>0</mn><mo>.</mo><mn>75</mn><mo>)</mo><mo>&#160;</mo><mo>&#183;</mo><mo>&#160;</mo><mn>20</mn></math></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>","15, 15.0","15, 15.0",,,509009
PSBCQR6,4,Fill-in-the-blank(s),Exact Match,"<p>Divide. Express your answer as a decimal.</p>
<p>&nbsp;</p>
<p><math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>4</mn><mo>&#160;</mo><mo>&#247;</mo><mo>&#160;</mo><mn>50</mn></math></p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r></p>",".08, 0.08",".08, 0.08",,,421588
PSBCRQ,3,Fill-in-the-blank(s),Numeric,"<p>A caterer needs to buy 21 pounds of pasta to cater a wedding. At a local store, 8 pounds of pasta cost&nbsp;$12. How much will the caterer pay for the pasta there?</p>
<p>&nbsp;</p>
<p>$<ast-r type=""text"" marker=""1""></ast-r></p>",31.5,31.5,,,12985
PSBDG4M,2,Fill-in-the-blank(s),Numeric,"<p>Lin runs 5 laps around a track in 6 minutes.</p>
<p>&nbsp;</p>
<p>How many laps per minute is that? &nbsp;</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r>&nbsp;laps per minute</p>",6-May,6-May,,,559546
PRABG3FJ,1,Fill-in-the-blank(s),Numeric,"<table style=""border-collapse: collapse; width: 99.9462%; height: 184.991px;"" border=""0"">
<tbody>
<tr style=""height: 93.947px;"">
<td style=""height: 184.991px; width: 33.63%;"" rowspan=""2""><img style=""letter-spacing: 0.1px;"" src=""//resources.assistments.org/fetch/C/7ce01a36-a6e4-461e-94eb-96adb5089132.jpeg"" width=""214"" height=""312""></td>
<td style=""width: 66.3573%; height: 93.947px;"">
<p>A window-washing crew can finish 15 windows in 18 minutes.</p>
<p>&nbsp;</p>
<p>If this crew was assigned to wash all the windows on the outside of the Burj Khalifa, how long will the crew be washing at this rate?</p>
<p>&nbsp;</p>
<p><ast-r type=""text"" marker=""1""></ast-r> minutes</p>
</td>
</tr>
<tr style=""height: 91.044px;"">
<td style=""width: 66.3573%; height: 91.044px;"">&nbsp;</td>
</tr>
</tbody>
</table>","29,217.60","29,217.60",,,354136
